"","V1","V2","V3","V4","V5"
"1",0.294117647058824,0.264705882352941,0.103991596638655,0.213760504201681,0.123424369747899
"2",0.243582263710618,0.0201283547257876,0.0463827304550758,0.274504084014002,0.415402567094516
"3",0.243774114345844,0.575236759031919,0.0610312171168011,0.103472465801473,0.0164854437039635
"4",0.243994943109987,0.298988621997472,0.124525916561315,0.254108723135272,0.0783817951959545
"5",0.630973451327434,0.0139380530973451,0.0380530973451327,0.219469026548673,0.0975663716814159
"6",0.0979049153908139,0.636986301369863,0.0777598710717164,0.174456083803384,0.0128928283642224
"7",0.0524590163934426,0.0165863066538091,0.669816779170685,0.23297974927676,0.0281581485053038
"8",0.0681198910081744,0.0412611911249513,0.0155702608018684,0.0805760996496691,0.794472557415337
"9",0.174127817227539,0.152516208706391,0.020685396727385,0.601420191417104,0.0512503859215807
"10",0.146998094027954,0.668122617534943,0.0385959339263024,0.131273824650572,0.0150095298602287
"11",0.614035087719298,0.081140350877193,0.107456140350877,0.118421052631579,0.0789473684210526
"12",0.456140350877193,0.141113653699466,0.185354691075515,0.137299771167048,0.080091533180778
"13",0.754785120982304,0.0628385698808234,0.0538100397255327,0.0866738894907909,0.0418923799205489
"14",0.862059546571975,0.0158426659382682,0.0101065282709642,0.0420650095602294,0.0699262496585632
"15",0.636094674556213,0.122041420118343,0.102810650887574,0.0939349112426035,0.0451183431952663
"16",0.12716049382716,0.0172839506172839,0.0994708994708995,0.27283950617284,0.483245149911817
"17",0.0235699152542373,0.0119173728813559,0.00476694915254237,0.0153601694915254,0.944385593220339
"18",0.101629913710451,0.0917225950782998,0.680409076382231,0.106743368488335,0.0194950463406839
"19",0.0313279733850846,0.0160798447463266,0.0124757416135292,0.0415858053784308,0.898530634876629
"20",0.101487896957584,0.052187430601821,0.137241838774151,0.690650677326227,0.0184321563402176
"21",0.107843137254902,0.0286377708978328,0.0108359133126935,0.111971104231166,0.740712074303406
"22",0.0581291093843395,0.0107591153616258,0.897638971906754,0.0215182307232516,0.0119545726240287
"23",0.234665747760165,0.0151619572708477,0.209166092350103,0.515851137146795,0.0251550654720882
"24",0.641918903483724,0.0331239291833238,0.0262707024557396,0.133066818960594,0.165619645916619
"25",0.0538745387453875,0.136531365313653,0.0531365313653137,0.261254612546125,0.49520295202952
"26",0.0267538644470868,0.93192627824019,0.0145659928656361,0.0205112960760999,0.00624256837098692
"27",0.0510869565217391,0.672554347826087,0.129347826086957,0.120108695652174,0.0269021739130435
"28",0.0353745541022592,0.910820451843044,0.0181331747919144,0.0273483947681332,0.00832342449464923
"29",0.133782483156882,0.702598652550529,0.0381777350016041,0.111324991979467,0.0141161373115175
"30",0.0376596088572814,0.0984321965411346,0.732665265880071,0.122999838370777,0.00824309035073541
"31",0.485056210584042,0.125582670688237,0.0455168631752125,0.317247052371812,0.0265972031806965
"32",0.202949438202247,0.0802902621722846,0.576076779026217,0.128979400749064,0.0117041198501873
"33",0.729540614542136,0.0425920292059629,0.00882263462123517,0.186492242166109,0.0325524794645573
"34",0.912928392309836,0.0176929506826414,0.0151852883811647,0.0404012259682363,0.013792142658122
"35",0.0754422476586889,0.573881373569199,0.0197710718002081,0.274193548387097,0.0567117585848075
"36",0.0938538205980066,0.158084163898117,0.0229789590254707,0.676356589147287,0.0487264673311185
"37",0.0528160200250313,0.145682102628285,0.0480600750938673,0.736670838548185,0.0167709637046308
"38",0.0637915543575921,0.638140161725067,0.0536837376460018,0.232030548068284,0.0123539982030548
"39",0.0433479363615402,0.066635923449389,0.0225962646991008,0.742218123126585,0.125201752363385
"40",0.0850661625708885,0.694517958412098,0.0257088846880907,0.172400756143667,0.0223062381852552
"41",0.0350820727389765,0.912133891213389,0.0167364016736402,0.0244608947537818,0.0115867396202124
"42",0.626465661641541,0.168062534896706,0.116136236739252,0.0714684533780011,0.0178671133445003
"43",0.111325766723014,0.0917652740883844,0.0219753682685342,0.704419222410046,0.0705143685100217
